,Unnamed: 0,SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,kineticLaw-,kineticLaw--units,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,sbml charge,sbml compartment,sbml id,sbml initial amount,sbml initial concentration,sbml type,selected,SelfLoops,shared name,Stress,TopologicalCoefficient,genename,new_names,new_association,reinhardtii_gene,number,Gene_name,differences_0,total_0,JC_distance_0,differences_2,total_2,JC_distance_2,differences_4,total_4,JC_distance_4,SFS0,SFS0_theta_pi,SFS4,SFS4_theta_pi,connectivity,max_connectivity,sum_connectivity,new_name
0,13,75,5.38505009,0.000272,0.18569929,0,4,12,FALSE,0,,"branched-chain-amino-acid transaminase, chloroplast",13.25,4,0,0,0.75638611,,,R_BCTAh,,,reaction,FALSE,0,"branched-chain-amino-acid transaminase, chloroplast",555906,0.36029412,,"branched-chain-amino-acid transaminase, chloroplast",CRv4_Au5_s10_g799_t1,Cre10_g458050_t1_2|PACid:26904724,124,Cre10.g458050,62,1160,0.055448365,37,268,0.15257886,89,377,0.283495835,"[1090, 11, 0, 2, 3, 1, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006524224,"[309, 8, 8, 3, 5, 0, 5, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.036736534,"[['77', '4'], ['78', '4'], ['617', '4'], ['76', '4'], ['80', '4'], ['75', '4'], ['79', '4']]",4,28,Cre10_g458050_t1_2
1,14,76,5.36552787,7.20E-05,0.18637495,0,4,12,FALSE,0,,"branched-chain-amino-acid transaminase, valine forming, chloroplast",14,4,0,0,0.75747067,,,R_BCTA_LPAREN_val_RPAREN_h,,,reaction,FALSE,0,"branched-chain-amino-acid transaminase, valine forming, chloroplast",256650,0.35135135,,"branched-chain-amino-acid transaminase, valine forming, chloroplast",CRv4_Au5_s10_g799_t1,Cre10_g458050_t1_2|PACid:26904724,124,Cre10.g458050,62,1160,0.055448365,37,268,0.15257886,89,377,0.283495835,"[1090, 11, 0, 2, 3, 1, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006524224,"[309, 8, 8, 3, 5, 0, 5, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.036736534,"[['77', '4'], ['78', '4'], ['617', '4'], ['76', '4'], ['80', '4'], ['75', '4'], ['79', '4']]",4,28,Cre10_g458050_t1_2
2,15,77,4.80811713,0.000286,0.20798162,0,4,10,FALSE,0,,"branched-chain-amino-acid transaminase, valine forming",19.5,4,0,0,0.78843794,,,R_BCTA_LPAREN_val_RPAREN_,,,reaction,FALSE,0,"branched-chain-amino-acid transaminase, valine forming",862320,0.30833333,,"branched-chain-amino-acid transaminase, valine forming",CRv4_Au5_s10_g799_t1,Cre10_g458050_t1_2|PACid:26904724,124,Cre10.g458050,62,1160,0.055448365,37,268,0.15257886,89,377,0.283495835,"[1090, 11, 0, 2, 3, 1, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006524224,"[309, 8, 8, 3, 5, 0, 5, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.036736534,"[['77', '4'], ['78', '4'], ['617', '4'], ['76', '4'], ['80', '4'], ['75', '4'], ['79', '4']]",4,28,Cre10_g458050_t1_2
3,16,78,5.38505009,0.000532,0.18569929,0,4,12,FALSE,0,,"branched-chain-amino-acid transaminase, glutamate forming, chloroplast",13,4,0,0,0.75638611,,,R_BCTA_LPAREN_glu_RPAREN_h,,,reaction,FALSE,0,"branched-chain-amino-acid transaminase, glutamate forming, chloroplast",1103040,0.36363636,,"branched-chain-amino-acid transaminase, glutamate forming, chloroplast",CRv4_Au5_s10_g799_t1,Cre10_g458050_t1_2|PACid:26904724,124,Cre10.g458050,62,1160,0.055448365,37,268,0.15257886,89,377,0.283495835,"[1090, 11, 0, 2, 3, 1, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006524224,"[309, 8, 8, 3, 5, 0, 5, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.036736534,"[['77', '4'], ['78', '4'], ['617', '4'], ['76', '4'], ['80', '4'], ['75', '4'], ['79', '4']]",4,28,Cre10_g458050_t1_2
4,17,79,4.8137683,0.00024,0.20773746,0,4,10,FALSE,0,,"branched-chain-amino-acid transaminase, glutamate forming",19.25,4,0,0,0.78812398,,,R_BCTA_LPAREN_glu_RPAREN_,,,reaction,FALSE,0,"branched-chain-amino-acid transaminase, glutamate forming",1218120,0.30932203,,"branched-chain-amino-acid transaminase, glutamate forming",CRv4_Au5_s10_g799_t1,Cre10_g458050_t1_2|PACid:26904724,124,Cre10.g458050,62,1160,0.055448365,37,268,0.15257886,89,377,0.283495835,"[1090, 11, 0, 2, 3, 1, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006524224,"[309, 8, 8, 3, 5, 0, 5, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.036736534,"[['77', '4'], ['78', '4'], ['617', '4'], ['76', '4'], ['80', '4'], ['75', '4'], ['79', '4']]",4,28,Cre10_g458050_t1_2
5,18,80,4.8137683,0.000387,0.20773746,0,4,10,FALSE,0,,branched-chain-amino-acid transaminase,19,4,0,0,0.78812398,,,R_BCTA,,,reaction,FALSE,0,branched-chain-amino-acid transaminase,894310,0.31034483,,branched-chain-amino-acid transaminase,CRv4_Au5_s10_g799_t1,Cre10_g458050_t1_2|PACid:26904724,124,Cre10.g458050,62,1160,0.055448365,37,268,0.15257886,89,377,0.283495835,"[1090, 11, 0, 2, 3, 1, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006524224,"[309, 8, 8, 3, 5, 0, 5, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.036736534,"[['77', '4'], ['78', '4'], ['617', '4'], ['76', '4'], ['80', '4'], ['75', '4'], ['79', '4']]",4,28,Cre10_g458050_t1_2
6,26,88,6.41202158,0.000188,0.15595705,0,6,14,FALSE,0,,methylmalonate-semialdehyde dehydrogenase (acylating),22.66666667,6,0,0,0.69933213,,,R_MMSDH,,,reaction,FALSE,0,methylmalonate-semialdehyde dehydrogenase (acylating),438718,0.26748971,CRv4_Au5_s16_g6565_t1,methylmalonate-semialdehyde dehydrogenase (acylating),CRv4_Au5_s16_g6565_t1,Cre16_g675650_t1_2|PACid:26891993,722,Cre16.g675650,30,1089,0.028066886,29,208,0.154251691,83,343,0.292167994,"[1086, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000204248,"[291, 27, 7, 5, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.023353819,"[['88', '6'], ['769', '6']]",6,12,Cre16_g675650_t1_2
7,707,769,6.417159,0.000618,0.1558322,0,6,14,FALSE,0,,methylmalonate-semialdehyde dehydrogenase (acylating),23.83333333,6,0,0,0.69904672,,,R_MMSD,,,reaction,FALSE,0,methylmalonate-semialdehyde dehydrogenase (acylating),202868592,0.28541667,CRv4_Au5_s16_g6565_t1,methylmalonate-semialdehyde dehydrogenase (acylating),CRv4_Au5_s16_g6565_t1,Cre16_g675650_t1_2|PACid:26891993,722,Cre16.g675650,30,1089,0.028066886,29,208,0.154251691,83,343,0.292167994,"[1086, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000204248,"[291, 27, 7, 5, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.023353819,"[['88', '6'], ['769', '6']]",6,12,Cre16_g675650_t1_2
8,28,90,5.48625739,0.000244,0.18227362,0,3,12,FALSE,0,,methylglutaconyl-coa hydratase,21.66666667,3,0,0,0.75076348,,,R_MGC,,,reaction,FALSE,0,methylglutaconyl-coa hydratase,1096470,0.33333333,,methylglutaconyl-coa hydratase,CRv4_Au5_s2_g8635_t1,Cre02_g091850_t1_2|PACid:26900466,469,Cre02.g091850,49,707,0.072721281,14,140,0.107325633,58,253,0.273600922,"[689, 6, 6, 2, 4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00756697,"[226, 6, 11, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.022022731,"[['482', '3'], ['1640', '3'], ['1638', '3'], ['90', '3']]",3,12,Cre02_g091850_t1_2
9,1576,1638,4.51220139,0.000606,0.22162131,0,3,10,FALSE,0,,(3R)-3-Hydroxybutanoyl-CoA hydro-lyase,131,3,0,0,0.8048777,,,R_HBCHLR,,,reaction,FALSE,0,(3R)-3-Hydroxybutanoyl-CoA hydro-lyase,7976572,0.33419023,,(3R)-3-Hydroxybutanoyl-CoA hydro-lyase,CRv4_Au5_s2_g8635_t1,Cre02_g091850_t1_2|PACid:26900466,469,Cre02.g091850,49,707,0.072721281,14,140,0.107325633,58,253,0.273600922,"[689, 6, 6, 2, 4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00756697,"[226, 6, 11, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.022022731,"[['482', '3'], ['1640', '3'], ['1638', '3'], ['90', '3']]",3,12,Cre02_g091850_t1_2
